date,permno,htsymbol,prc,ret
2021-07-30,21614,DUOL,140.25,
2021-08-31,21614,DUOL,129.56,-0.076221
2021-09-30,21614,DUOL,166.36,0.284038
2021-10-29,21614,DUOL,173.69,0.044061
2021-11-30,21614,DUOL,110.19,-0.365594
2021-12-31,21614,DUOL,106.11,-0.037027
2022-01-31,21614,DUOL,100.01,-0.057488
2022-02-28,21614,DUOL,86.29,-0.137186
2022-03-31,21614,DUOL,95.11,0.102213
2022-04-29,21614,DUOL,86.47,-0.090842
2022-05-31,21614,DUOL,83.61,-0.033075
2022-06-30,21614,DUOL,87.55,0.047124
2022-07-29,21614,DUOL,91.75,0.047973
2022-08-31,21614,DUOL,94.02,0.024741
2022-09-30,21614,DUOL,95.23,0.01287
2022-10-31,21614,DUOL,81.84,-0.140607
2022-11-30,21614,DUOL,69.67,-0.148705
2022-12-30,21614,DUOL,71.13,0.020956
2023-01-31,21614,DUOL,95.49,0.342472
2023-02-28,21614,DUOL,90.79,-0.04922
2023-03-31,21614,DUOL,142.59,0.570547
2023-04-28,21614,DUOL,136.16,-0.045094
2023-05-31,21614,DUOL,149.57001,0.098487
2023-06-30,21614,DUOL,142.94,-0.044327
2023-07-31,21614,DUOL,155.19,0.0857
2023-08-31,21614,DUOL,147.16,-0.051743
2023-09-29,21614,DUOL,165.87,0.12714
2023-10-31,21614,DUOL,146.05,-0.119491
2023-11-30,21614,DUOL,212.28999,0.453543
2023-12-29,21614,DUOL,226.85001,0.068586
2024-01-31,21614,DUOL,178.89,-0.211417
2024-02-29,21614,DUOL,239.0,0.336017
2024-03-28,21614,DUOL,220.58,-0.077071
2024-04-30,21614,DUOL,225.75,0.023438
2024-05-31,21614,DUOL,191.39999,-0.152159
2024-06-28,21614,DUOL,208.67,0.09023
2024-07-31,21614,DUOL,171.94,-0.17602
2024-08-30,21614,DUOL,212.57001,0.236303
2024-09-30,21614,DUOL,282.01999,0.326716
2024-10-31,21614,DUOL,292.97,0.038827
2024-11-29,21614,DUOL,348.26999,0.188756
2024-12-31,21614,DUOL,324.23001,-0.069027
